Identifier,Fold,Accuracy,Mean_Accuracy,Mean_Class_F1_Scores
sub7ex3,4,0.783505155,0.791693493,"[0.722122575140792, 0.7405755820875222, 0.9102874301162244]"
sub7ex3,5,0.799410029,0.791693493,"[0.722122575140792, 0.7405755820875222, 0.9102874301162244]"
sub8ex1,1,0.842415317,0.8635804,"[0.8111395500337675, 0.811246395773899, 0.9656951625924275]"
sub8ex1,2,0.882179676,0.8635804,"[0.8111395500337675, 0.811246395773899, 0.9656951625924275]"
sub8ex1,3,0.874815906,0.8635804,"[0.8111395500337675, 0.811246395773899, 0.9656951625924275]"
sub8ex1,4,0.863033873,0.8635804,"[0.8111395500337675, 0.811246395773899, 0.9656951625924275]"
sub8ex1,5,0.855457227,0.8635804,"[0.8111395500337675, 0.811246395773899, 0.9656951625924275]"
sub8ex2,1,0.880706922,0.896583993,"[0.8485653951313988, 0.8543510025514445, 0.9824387493422673]"
sub8ex2,2,0.914580265,0.896583993,"[0.8485653951313988, 0.8543510025514445, 0.9824387493422673]"
sub8ex2,3,0.905743741,0.896583993,"[0.8485653951313988, 0.8543510025514445, 0.9824387493422673]"
sub8ex2,4,0.879234168,0.896583993,"[0.8485653951313988, 0.8543510025514445, 0.9824387493422673]"
sub8ex2,5,0.902654867,0.896583993,"[0.8485653951313988, 0.8543510025514445, 0.9824387493422673]"
sub8ex3,1,0.908689249,0.914850487,"[0.8742763060627968, 0.8839434373243445, 0.9828851790171479]"
sub8ex3,2,0.924889543,0.914850487,"[0.8742763060627968, 0.8839434373243445, 0.9828851790171479]"
sub8ex3,3,0.911634757,0.914850487,"[0.8742763060627968, 0.8839434373243445, 0.9828851790171479]"
sub8ex3,4,0.911634757,0.914850487,"[0.8742763060627968, 0.8839434373243445, 0.9828851790171479]"
sub8ex3,5,0.91740413,0.914850487,"[0.8742763060627968, 0.8839434373243445, 0.9828851790171479]"
sub9ex1,1,0.916053019,0.916912343,"[0.8865004659277134, 0.899341204740087, 0.9641459639137697]"
sub9ex1,2,0.920471281,0.916912343,"[0.8865004659277134, 0.899341204740087, 0.9641459639137697]"
sub9ex1,3,0.899852725,0.916912343,"[0.8865004659277134, 0.899341204740087, 0.9641459639137697]"
sub9ex1,4,0.93078056,0.916912343,"[0.8865004659277134, 0.899341204740087, 0.9641459639137697]"
